KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 2156178, 52501052,290.519292,37.525444,0.0426,spec-56094-kepler05B56094_2_sp01-052.fits.gz 
 2157725,580701162,290.882390,37.529060,0.0288,spec-57918-KP192409N391242V05_sp01-162.fits.gz 
 2157901,369701151,290.923950,37.588310,0.0358,spec-57308-KP192409N391242V01_sp01-151.fits.gz 
 2159449, 52401140,291.289208,37.599472,0.0384,spec-56094-kepler05B56094_sp01-140.fits.gz 
 2160161, 52401144,291.448208,37.571778,0.0478,spec-56094-kepler05B56094_sp01-144.fits.gz 
 2160572,580501146,291.534482,37.593142,3.8266,spec-57918-KP192409N391242V03_sp01-146.fits.gz 
 2160901,369707026,291.599400,37.539661,0.0356,spec-57308-KP192409N391242V01_sp07-026.fits.gz 
 2160901,580501144,291.599400,37.539661,0.0356,spec-57918-KP192409N391242V03_sp01-144.fits.gz 
 2163856,369707023,292.226930,37.557442,0.0353,spec-57308-KP192409N391242V01_sp07-023.fits.gz 
 2163856,580607012,292.226930,37.557442,0.0353,spec-57918-KP192409N391242V04_sp07-012.fits.gz 
 2164123,580607001,292.278291,37.535839,3.8061,spec-57918-KP192409N391242V04_sp07-001.fits.gz 
 2164327,580707023,292.328721,37.588723,3.6895,spec-57918-KP192409N391242V05_sp07-023.fits.gz 
 2165198,369707119,292.509800,37.594090,0.0240,spec-57308-KP192409N391242V01_sp07-119.fits.gz 
 2165450,580507019,292.567424,37.584854,3.8179,spec-57918-KP192409N391242V03_sp07-019.fits.gz 
 2283435,576501010,286.136050,37.649658,0.0264,spec-57908-KP190339N395439V03_sp01-010.fits.gz 
 2297785,369702061,290.261930,37.624920,0.0031,spec-57308-KP192409N391242V01_sp02-061.fits.gz 
 2297785,580602058,290.261930,37.624920,0.0031,spec-57918-KP192409N391242V04_sp02-058.fits.gz 
 2299926,369701166,290.763850,37.633598,0.0252,spec-57308-KP192409N391242V01_sp01-166.fits.gz 
 2303367, 52507041,291.536708,37.673389,0.0228,spec-56094-kepler05B56094_2_sp07-041.fits.gz 
 2305930, 52507104,292.106792,37.689806,0.0850,spec-56094-kepler05B56094_2_sp07-104.fits.gz 
 2305992,369707104,292.118990,37.665909,0.0295,spec-57308-KP192409N391242V01_sp07-104.fits.gz 
 2305992,580507027,292.118990,37.665909,0.0295,spec-57918-KP192409N391242V03_sp07-027.fits.gz 
 2307683, 52507103,292.483583,37.682111,0.1148,spec-56094-kepler05B56094_2_sp07-103.fits.gz 
 2309469,369807062,292.870000,37.644218,0.0043,spec-57308-KP192409N391242V02_sp07-062.fits.gz 
 2309469,580507055,292.870000,37.644218,0.0043,spec-57918-KP192409N391242V03_sp07-055.fits.gz 
 2422073,243001089,285.887583,37.721750,0.0708,spec-56811-KP190339N395439V01_sp01-089.fits.gz 
 2422635,576501021,286.073300,37.723919,0.0000,spec-57908-KP190339N395439V03_sp01-021.fits.gz 
 2424822,576507151,286.813230,37.745979,0.0075,spec-57908-KP190339N395439V03_sp07-151.fits.gz 
 2424955,243107167,286.855458,37.779210,1.2727,spec-56811-KP190339N395439V02_sp07-167.fits.gz 
 2438368,580705201,290.308990,37.782742,0.0307,spec-57918-KP192409N391242V05_sp05-201.fits.gz 
 2441995,369701138,291.139590,37.701260,0.0061,spec-57308-KP192409N391242V01_sp01-138.fits.gz 
 2441995,580501154,291.139590,37.701260,0.0061,spec-57918-KP192409N391242V03_sp01-154.fits.gz 
 2442606,580505008,291.282179,37.752336,3.7514,spec-57918-KP192409N391242V03_sp05-008.fits.gz 
 2443903,369708223,291.570590,37.764648,0.0293,spec-57308-KP192409N391242V01_sp08-223.fits.gz 
 2443903,580505005,291.570590,37.764648,0.0293,spec-57918-KP192409N391242V03_sp05-005.fits.gz 
 2444348, 52507036,291.668708,37.704056,0.0630,spec-56094-kepler05B56094_2_sp07-036.fits.gz 
 2446327,580708210,292.106417,37.773400,0.5687,spec-57918-KP192409N391242V05_sp08-210.fits.gz 
 2447529,369707116,292.342900,37.781399,0.0240,spec-57308-KP192409N391242V01_sp07-116.fits.gz 
 2447529,580607110,292.342900,37.781399,0.0240,spec-57918-KP192409N391242V04_sp07-110.fits.gz 
 2447604, 52507114,292.358208,37.733278,0.0478,spec-56094-kepler05B56094_2_sp07-114.fits.gz 
