  1717618 19222314+3712209  19:22:23.146 +37:12:20.95 11.70 4876  98  122.47    0.38    9.66    0.05 142      5.01        1.75    0.07    6.94    0.10    3.00    0.01 -999.      0.32    0.03 -999.   -999.   0 -999.    0 0 1
  1720425 19251052+3715499  19:25:10.521 +37:15:49.93 10.78 4758 167   28.33    0.18    3.69    0.05 8.64e+03 380         0.98    0.08   10.86    0.37    2.36    0.01  276.60    1.35    0.07 -999.   -999.   0 -999.    0 1 2
  1723752 19280136+3717594  19:28:01.370 +37:17:59.42 12.33 4963  99  198.49    0.49   14.97    0.05 141      4.49        1.33    0.05    4.73    0.06    3.21    0.01   83.70    1.16    0.03 -999.   -999.   0 -999.    0 1 1
  1723843 19280451+3713548  19:28:04.517 +37:13:54.88 12.23 4908  98  111.78    0.34    9.37    0.05 338      10          1.51    0.06    6.75    0.10    2.96    0.01   72.70    1.52    0.03 -999.   -999.   0 -999.    0 1 1
  1724879 19285611+3716229  19:28:56.114 +37:16:22.91 10.77 5090 178   40.61    0.26    4.47    0.05 2.84e+03 116         1.48    0.12   10.99    0.33    2.53    0.01  293.80    1.32    0.05 -999.   -999.   0 -999.    0 1 2
  1725190 19291057+3713306  19:29:10.572 +37:13:30.65  9.22 5054 101   99.30    0.38    7.95    0.05 230      6.11        2.15    0.10    8.47    0.14    2.91    0.01  218.70    1.27    0.03 -999.   -999.   0 -999.    0 1 2
  1726211 19300107+3717340  19:30:01.073 +37:17:34.01 10.93 4995 175   30.89    0.24    3.77    0.05 3.92e+03 185         1.25    0.11   11.63    0.39    2.40    0.01  318.80    1.60    0.06 -999.   -999.   0 -999.    0 1 2
  1864183 19215572+3722208  19:21:55.721 +37:22:20.82 11.34 4632 162   54.71    0.25    5.47    0.05 2.39e+03 73.3        1.40    0.10    9.43    0.25    2.64    0.01 -999.      1.74    0.05 -999.   -999.   0 -999.    0 0 0
  1864855 19223280+3720441  19:22:32.801 +37:20:44.16 11.55 5083 178  126.99    0.40   10.37    0.05 183      5.72        1.56    0.10    6.38    0.13    3.02    0.01 -999.      0.30    0.03 -999.   -999.   0 -999.    0 0 1
  1864959 19223866+3720146  19:22:38.666 +37:20:14.68  8.81 4998 175   40.65    0.27    4.55    0.05 2.92e+03 119         1.35    0.11   10.52    0.31    2.52    0.01  309.30    1.60    0.05 -999.   -999.   0 -999.    0 1 2
  1865262 19225594+3722386  19:22:55.949 +37:22:38.64 12.47 4772  95   53.12    0.20    5.63    0.05 2.48e+03 84.5        1.20    0.06    8.79    0.19    2.63    0.01 -999.      1.67    0.05 -999.   -999.   0 -999.    0 0 0
  1865747 19232346+3722342  19:23:23.467 +37:22:34.28 10.76 4752  95   63.64    0.23    6.14    0.05 1.51e+03 45.2        1.44    0.07    8.81    0.18    2.71    0.01 -999.      1.61    0.04 -999.   -999.   0 -999.    0 0 1
  1867706 19251940+3718402  19:25:19.409 +37:18:40.28 11.64 4813  96  106.16    0.33    8.66    0.05 394      10          1.73    0.07    7.44    0.12    2.93    0.01   76.20    1.45    0.06 -999.   -999.   0 -999.    0 1 1
  1868101 19253987+3722022  19:25:39.874 +37:22:02.21 11.93 4633  93   31.58    0.40    3.83    0.05 5.64e+03 271         1.12    0.08   11.11    0.35    2.40    0.01  298.70    1.53    0.07 -999.   -999.   0 -999.    0 1 2
  1872166 19290894+3719028  19:29:08.947 +37:19:02.86 11.63 4975 100   77.17    0.36    6.75    0.05 524      15          1.89    0.09    9.06    0.17    2.80    0.01  263.80    1.42    0.03 -999.   -999.   0 -999.    0 1 2
  1872210 19291111+3718547  19:29:11.119 +37:18:54.76 10.40 5204 182   70.78    0.36    6.32    0.05 538      15.7        2.03    0.14    9.68    0.24    2.77    0.01  251.10 -999.   -999.   -999.   -999.   0 -999.    0 1 2
  1872375 19291945+3719300  19:29:19.457 +37:19:30.04 11.23 5044 101  104.84    0.57    8.48    0.05 143      4.5         1.94    0.09    7.84    0.13    2.94    0.01 -999.      0.60    0.03 -999.   -999.   0 -999.    0 0 2
  1872842 19294371+3722289  19:29:43.709 +37:22:28.96 11.49 4768 167   41.26    0.24    4.49    0.05 3.72e+03 128         1.39    0.11   10.71    0.32    2.52    0.01  281.10    1.65    0.06 -999.   -999.   0 -999.    0 1 2
  1995668 19044812+3726375  19:04:48.118 +37:26:37.57 12.38 4908 172  226.28    0.52   16.18    0.05 151      4.95        1.41    0.09    4.59    0.09    3.27    0.01 -999.   -999.      0.03 -999.   -999.   0 -999.    0 0 1
  1995859 19050006+3728563  19:05:00.060 +37:28:56.32 10.86 4899  98   45.67    0.29    4.70    0.05 1.85e+03 68.3        1.62    0.10   10.95    0.27    2.57    0.01  321.40    1.53    0.04 -999.   -999.   0 -999.    0 1 2
  2011582 19225839+3728552  19:22:58.390 +37:28:55.24 12.26 4684  94   39.16    0.41    3.88    0.05 2.13e+03 104         2.06    0.15   13.47    0.41    2.49    0.01 -999.      1.31    0.05 -999.   -999.   0 -999.    0 0 2
  2011891 19231796+3728151  19:23:17.959 +37:28:15.13 11.81 4714  94  114.26    0.20    9.61    0.05 974      25.5        1.38    0.06    6.44    0.10    2.96    0.01   76.70 -999.      0.03 -999.   -999.   0 -999.    0 1 1
  2013502 19244585+3729385  19:24:45.850 +37:29:38.54 11.91 4930 173   60.77    0.39    5.76    0.05 886      30.2        1.72    0.13    9.76    0.25    2.70    0.01  232.90    1.54    0.04 -999.   -999.   0 -999.    0 1 2
  2014377 19253754+3727135  19:25:37.546 +37:27:13.50  9.92 4734 166   38.45    0.33    4.07    0.05 1.86e+03 90.8        1.64    0.14   12.11    0.39    2.49    0.01 -999.      0.65    0.04 -999.   -999.   0 -999.    0 0 0
  2015820 19265758+3728035  19:26:57.585 +37:28:03.54  9.53 4831  97   44.79    0.44    4.63    0.05 1.53e+03 64.6        1.60    0.10   11.03    0.29    2.56    0.01  305.40    1.26    0.04 -999.   -999.   0 -999.    0 1 2
  2016676 19274515+3727100  19:27:45.156 +37:27:10.04 11.51 4978 100   80.60    0.43    7.02    0.05 392      12.4        1.84    0.09    8.74    0.16    2.82    0.01  255.30    1.52    0.03 -999.   -999.   0 -999.    0 1 2
  2016706 19274667+3727398  19:27:46.678 +37:27:39.82 10.60 4801  96   38.61    0.26    4.32    0.05 3.61e+03 139         1.34    0.08   10.85    0.29    2.49    0.01  260.70    1.38    0.05 -999.   -999.   0 -999.    0 1 2
  2018392 19291520+3729271  19:29:15.202 +37:29:27.20 11.77 4908 172   33.31    0.28    3.81    0.05 4.2e+03  176         1.47    0.13   12.20    0.41    2.43    0.01 -999.      1.02    0.06 -999.   -999.   0 -999.    0 0 0
  2018667 19293034+3729119  19:29:30.341 +37:29:11.98 12.00 4784 167   29.65    0.38    3.79    0.05 6.47e+03 359         1.02    0.09   10.83    0.38    2.38    0.01 -999.      1.58    0.17   64.00    8.56 0 -999.    2 0 0
  2019396 19300833+3726004  19:30:08.330 +37:26:00.49 12.46 4780 167   35.54    0.51    4.17    0.05 1.3e+03  103         1.20    0.11   10.72    0.36    2.46    0.01  242.30    1.81    0.22   67.00    8.09 0 -999.    2 0 2
  2140446 19034433+3734348  19:03:44.338 +37:34:34.82 11.81 4665 163   57.81    0.22    5.68    0.05 2.64e+03 82.6        1.44    0.10    9.28    0.24    2.66    0.01   66.00    1.46    0.05 -999.   -999.   0 -999.    0 1 1
  2140982 19042832+3733366  19:04:28.322 +37:33:36.61 10.56 4863 170   34.33    0.22    4.13    0.05 4.57e+03 190         1.15    0.09   10.66    0.33    2.44    0.01  256.50    1.50    0.06 -999.   -999.   0 -999.    0 1 2
