   KIC, 2MASS,        Kep_mag,  flag_act_osc, evol_status, Prot, logg_ast, err, NUV_xs, err, S_Ca_HK, err, S_Mg, err, S_Fe, err, S_Halpha, err, S_CaIR, err 
  1872166,19290894+3719028 ,11.63, 0,2,-999.00, 2.80, 0.01, -999, -999,0.147,0.001,0.636,0.003,0.871,0.004,0.720,0.004,0.542,0.004 
  1872210,19291111+3718547 ,10.40, 0,2,-999.00, 2.77, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  1872375,19291945+3719300 ,11.23, 0,2,-999.00, 2.94, 0.01, -999, -999,0.144,0.002,0.700,0.005,0.887,0.005,0.709,0.005,0.573,0.006 
  1872842,19294371+3722289 ,11.49, 0,2,-999.00, 2.52, 0.01, -999, -999,0.128,0.002,0.618,0.006,0.855,0.009,0.759,0.008,0.531,0.006 
  1995668,19044812+3726375 ,12.38, 0,1,-999.00, 3.27, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  1995859,19050006+3728563 ,10.86, 0,2,-999.00, 2.57, 0.01, -999, -999,0.101,0.005,0.726,0.017,0.872,0.021,0.750,0.018,0.595,0.025 
  2011582,19225839+3728552 ,12.26, 0,2,-999.00, 2.49, 0.01, -999, -999, -999, -999,0.611,0.011,0.833,0.013,0.787,0.015,0.547,0.013 
  2011891,19231796+3728151 ,11.81, 0,1,-999.00, 2.96, 0.01, -999, -999,0.195,0.003,0.546,0.006,0.852,0.006,0.797,0.006,0.578,0.007 
  2013502,19244585+3729385 ,11.91, 0,2,-999.00, 2.70, 0.01, -999, -999,0.140,0.002,0.661,0.006,0.881,0.007,0.747,0.007,0.574,0.008 
  2014377,19253754+3727135 , 9.92, 0,0,-999.00, 2.49, 0.01, -999, -999,0.145,0.001,0.648,0.017,0.849,0.018,0.752,0.017,0.560,0.018 
  2015820,19265758+3728035 , 9.53, 0,2,-999.00, 2.56, 0.01, -999, -999,0.131,0.002,0.658,0.004,0.864,0.006,0.726,0.005,0.526,0.004 
  2016676,19274515+3727100 ,11.51, 0,2,-999.00, 2.82, 0.01, -999, -999,0.190,0.003,0.653,0.007,0.866,0.008,0.709,0.007,0.571,0.009 
  2016706,19274667+3727398 ,10.60, 0,2,-999.00, 2.49, 0.01, -999, -999,0.137,0.001,0.663,0.004,0.867,0.005,0.737,0.005,0.553,0.006 
  2018392,19291520+3729271 ,11.77, 0,0,-999.00, 2.43, 0.01, -999, -999,0.115,0.002,0.610,0.004,0.863,0.005,0.704,0.004,0.522,0.005 
  2018667,19293034+3729119 ,12.00, 2,0, 64.00, 2.38, 0.01, -999, -999,0.161,0.003,0.625,0.006,0.871,0.007,0.713,0.007,0.538,0.008 
  2019396,19300833+3726004 ,12.46, 2,2, 67.00, 2.46, 0.01, -999, -999,0.203,0.005,0.612,0.010,0.856,0.015,0.730,0.014,0.557,0.011 
  2140446,19034433+3734348 ,11.81, 0,1,-999.00, 2.66, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2140982,19042832+3733366 ,10.56, 0,2,-999.00, 2.44, 0.01, -999, -999,0.034,0.000,0.714,0.015,0.886,0.017,0.764,0.017,0.565,0.019 
  2141928,19054142+3731262 ,10.72, 0,2,-999.00, 2.44, 0.01, -999, -999,0.169,0.003,0.638,0.007,0.844,0.008,0.768,0.008,0.539,0.009 
  2142095,19055465+3735053 ,11.53, 0,0,-999.00, 2.37, 0.01, -999, -999,0.146,0.002,0.719,0.007,0.894,0.008,0.740,0.008,0.584,0.007 
  2155220,19211041+3734464 ,11.41, 0,2,-999.00, 2.46, 0.01, -999, -999,0.149,0.002,0.675,0.005,0.870,0.007,0.741,0.006,0.573,0.006 
  2156178,19220462+3731316 , 9.59, 2,2, 40.50, 2.36, 0.01, -999, -999,0.189,0.002,0.673,0.004,0.903,0.007,0.736,0.006,0.594,0.007 
  2157725,19233177+3731446 ,12.34, 0,0,-999.00, 2.36, 0.01, -999, -999,0.288,0.004,0.739,0.008,0.888,0.032,0.760,0.032,0.619,0.034 
  2157901,19234174+3735179 ,11.14, 2,2, 44.00, 2.37, 0.01, -999, -999,0.170,0.003,0.661,0.007,0.876,0.008,0.739,0.008,0.577,0.009 
  2158410,19241257+3731545 ,11.77, 0,0,-999.00, 2.58, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2159449,19250940+3735581 ,12.48, 2,1, 74.50, 3.23, 0.01, -999, -999,0.253,0.002,0.650,0.004,0.874,0.006,0.723,0.005,0.612,0.006 
  2160161,19254757+3734183 ,11.95, 0,2,-999.00, 2.58, 0.01, -999, -999,0.146,0.004,0.594,0.008,0.862,0.011,0.762,0.010,0.543,0.011 
  2160572,19260797+3735340 ,10.93, 0,2,-999.00, 2.42, 0.01, -999, -999,0.216,0.006,0.662,0.012,0.867,0.014,0.745,0.012,0.571,0.015 
  2160901,19262385+3732227 ,12.06, 0,0,-999.00, 2.68, 0.01, -999, -999,0.142,0.003,0.556,0.005,0.850,0.007,0.763,0.006,0.546,0.006 
  2161731,19270486+3734137 , 8.18, 2,0,169.00, 2.93, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2163856,19285446+3733268 ,11.70, 0,0,-999.00, 2.77, 0.01, -999, -999,0.149,0.002,0.703,0.006,0.890,0.008,0.711,0.006,0.556,0.008 
  2164123,19290694+3732057 ,10.91, 2,0, 57.00, 2.60, 0.03, -999, -999,0.216,0.002,0.657,0.005,0.867,0.006,0.643,0.005,0.520,0.007 
  2164327,19291858+3735195 ,10.81, 0,2,-999.00, 2.57, 0.01, -999, -999,0.160,0.006,0.665,0.015,0.865,0.022,0.799,0.019,0.547,0.023 
  2165198,19300234+3735387 ,12.23, 0,0,-999.00, 2.86, 0.01, -999, -999,0.154,0.003,0.560,0.006,0.865,0.008,0.733,0.007,0.538,0.009 
  2165450,19301649+3735048 ,10.95, 0,2,-999.00, 2.93, 0.01, -999, -999,0.133,0.002,0.679,0.005,0.880,0.008,0.731,0.008,0.554,0.007 
  2166766,19312477+3733124 ,12.27, 0,2,-999.00, 2.56, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2167774,19321701+3731246 , 9.85, 0,2,-999.00, 2.68, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2283075,19040434+3737566 ,10.91, 0,1,-999.00, 2.74, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2283435,19043264+3738587 ,12.19, 0,2,-999.00, 2.39, 0.01, -999, -999,0.133,0.003,0.733,0.009,0.908,0.011,0.748,0.010,0.578,0.012 
  2284330,19053984+3737500 ,12.18, 0,2,-999.00, 2.37, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2284679,19060736+3740100 ,11.40, 0,1,-999.00, 3.21, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2285898,19074491+3741456 ,10.84, 0,2,-999.00, 2.30, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2297785,19210286+3737297 ,11.68, 0,2,-999.00, 2.59, 0.01, -999, -999,0.157,0.002,0.710,0.005,0.882,0.006,0.728,0.006,0.573,0.007 
  2299926,19230332+3738009 ,12.07, 0,2,-999.00, 2.53, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2303367,19260880+3740242 ,10.18, 0,2,-999.00, 2.44, 0.01, -999, -999,0.157,0.006,0.608,0.015,0.852,0.022,0.779,0.017,0.533,0.021 
  2305407,19275908+3741282 ,12.43, 2,1, 95.00, 3.18, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2305590,19280882+3736381 ,11.60, 0,1,-999.00, 2.59, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2305930,19282563+3741232 ,10.80, 2,2, 33.00, 2.36, 0.01, -999, -999,0.196,0.002,0.633,0.005,0.879,0.006,0.719,0.006,0.593,0.007 
  2305992,19282855+3739572 ,11.99, 0,1,-999.00, 2.91, 0.01, -999, -999,0.152,0.002,0.581,0.005,0.869,0.006,0.736,0.005,0.566,0.007 
  2307683,19295606+3740555 ,11.55, 0,0,-999.00, 2.51, 0.01, -999, -999,0.140,0.002,0.620,0.004,0.876,0.005,0.741,0.005,0.575,0.005 
  2309469,19312880+3738391 ,11.61, 0,2,-999.00, 2.35, 0.01, -999, -999,0.122,0.001,0.578,0.003,0.852,0.004,0.752,0.003,0.517,0.004 
  2309550,19313386+3740119 , 9.21, 0,2,-999.00, 2.61, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  2310129,19320618+3741449 ,10.93, 0,2,-999.00, 2.62, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
